Column1,Column2,20000 (2).Column1
the,A1,1
be,A1,2
and,A1,3
of,A1,4
a,A1,5
to,A1,7
have,A1,8
I,A1,11
you,A1,14
he,A1,15
with,A1,16
do,A1,18
this,A1,20
they,A1,21
at,A1,22
but,A1,23
we,A1,24
his,A1,25
from,A1,26
not,A1,28
by,A1,30
she,A1,31
or,A1,32
what,A1,34
their,A1,36
can,A1,37
who,A1,38
get,A1,39
if,A1,40
would,A1,41
her,A1,42
my,A1,44
about,A1,46
know,A1,47
will,A1,48
one,A1,51
time,A1,52
there,A1,53
year,A1,54
think,A1,56
when,A1,57
which,A1,58
them,A1,59
some,A1,60
me,A1,61
people,A1,62
out,A1,64
into,A1,65
just,A1,66
see,A1,67
him,A1,68
your,A1,69
come,A1,70
could,A1,71
now,A1,72
than,A1,73
other,A1,75
how,A1,76
then,A1,77
its,A1,78
our,A1,79
two,A1,80
these,A1,82
way,A1,84
look,A1,85
first,A1,86
also,A1,87
new,A1,88
because,A1,89
day,A1,90
no,A1,93
man,A1,94
find,A1,95
here,A1,96
thing,A1,97
give,A1,98
many,A1,99
well,A1,100
only,A1,101
those,A1,102
tell,A1,103
any,A1,109
good,A1,110
woman,A1,111
us,A1,113
life,A1,114
child,A1,115
work,A1,117
may,A1,119
should,A1,121
call,A1,122
world,A1,123
school,A1,125
still,A1,126
try,A1,127
ask,A1,131
need,A1,132
too,A1,133
three,A1,135
never,A1,138
become,A1,139
between,A1,140
high,A1,141
really,A1,142
something,A1,143
another,A1,145
much,A1,146
family,A1,147
own,A1,148
put,A1,151
old,A1,152
keep,A1,156
student,A1,157
why,A1,158
let,A1,159
great,A1,160
same,A1,161
big,A1,162
group,A1,163
begin,A1,164
where,A1,169
turn,A1,170
problem,A1,171
every,A1,172
start,A1,173
hand,A1,174
place,A1,181
again,A1,184
case,A1,186
week,A1,188
each,A1,192
right,A1,193
hear,A1,195
question,A1,197
play,A1,200
run,A1,202
small,A1,203
number,A1,204
off,A1,205
always,A1,206
move,A1,207
night,A1,209
point,A1,212
believe,A1,213
hold,A1,214
today,A1,215
bring,A1,216
happen,A1,217
before,A1,220
large,A1,221
must,A1,224
under,A1,226
water,A1,227
room,A1,228
write,A1,229
mother,A1,230
money,A1,233
story,A1,234
young,A1,235
month,A1,237
different,A1,238
lot,A1,239
book,A1,242
eye,A1,243
job,A1,244
word,A1,245
business,A1,247
side,A1,249
four,A1,251
head,A1,252
black,A1,254
long,A1,255
both,A1,256
little,A1,257
house,A1,258
yes,A1,259
friend,A1,266
important,A1,267
father,A1,268
sit,A1,269
away,A1,270
hour,A1,273
game,A1,274
often,A1,275
yet,A1,276
line,A1,277
end,A1,279
stand,A1,282
bad,A1,283
pay,A1,287
meet,A1,289
car,A1,290
city,A1,291
almost,A1,292
name,A1,299
five,A1,300
once,A1,301
white,A1,302
learn,A1,305
real,A1,306
change,A1,307
team,A1,308
minute,A1,309
best,A1,310
idea,A1,312
kid,A1,313
body,A1,314
information,A1,315
nothing,A1,316
ago,A1,317
social,A1,320
watch,A1,324
together,A1,325
parent,A1,328
stop,A1,330
face,A1,331
anything,A1,332
already,A1,335
speak,A1,336
read,A1,338
add,A1,341
office,A1,342
spend,A1,343
door,A1,344
health,A1,345
person,A1,346
art,A1,347
sure,A1,348
war,A1,350
history,A1,351
party,A1,352
grow,A1,354
result,A1,355
open,A1,356
morning,A1,358
walk,A1,359
reason,A1,360
girl,A1,364
guy,A1,365
food,A1,367
moment,A1,369
teacher,A1,372
remember,A1,380
second,A1,382
boy,A1,383
maybe,A1,384
age,A1,387
everything,A1,390
love,A1,391
music,A1,393
buy,A1,398
build,A1,409
plan,A1,414
college,A1,416
course,A1,419
someone,A1,420
behind,A1,422
kill,A1,425
six,A1,426
class,A1,432
care,A1,435
late,A1,438
hard,A1,439
field,A1,440
else,A1,441
sell,A1,444
along,A1,448
role,A1,452
better,A1,453
strong,A1,459
heart,A1,461
leader,A1,464
light,A1,465
wife,A1,467
mind,A1,470
free,A1,474
price,A1,476
son,A1,482
hope,A1,483
carry,A1,488
town,A1,489
drive,A1,491
arm,A1,492
true,A1,493
difference,A1,497
thank,A1,498
building,A1,502
action,A1,503
full,A1,504
join,A1,506
player,A1,514
agree,A1,515
wear,A1,519
paper,A1,520
special,A1,521
ground,A1,523
form,A1,524
event,A1,526
whose,A1,528
matter,A1,529
everyone,A1,530
site,A1,533
activity,A1,538
star,A1,539
table,A1,540
eat,A1,544
teach,A1,546
easy,A1,550
street,A1,555
phone,A1,558
either,A1,559
cover,A1,561
picture,A1,563
practice,A1,565
piece,A1,566
describe,A1,569
wall,A1,572
worker,A1,574
news,A1,575
test,A1,576
movie,A1,577
personal,A1,581
technology,A1,586
catch,A1,587
baby,A1,589
computer,A1,590
type,A1,591
tree,A1,596
red,A1,598
choose,A1,601
hair,A1,603
window,A1,608
difficult,A1,609
listen,A1,610
soon,A1,611
culture,A1,612
brother,A1,615
period,A1,617
summer,A1,619
short,A1,628
letter,A1,629
rule,A1,634
daughter,A1,635
husband,A1,638
floor,A1,640
hospital,A1,648
church,A1,649
close,A1,650
fire,A1,654
wrong,A1,656
anyone,A1,659
bank,A1,662
sport,A1,666
board,A1,667
subject,A1,670
officer,A1,671
fight,A1,677
throw,A1,678
quickly,A1,680
goal,A1,682
bed,A1,684
order,A1,685
fill,A1,687
foreign,A1,690
store,A1,701
note,A1,704
fine,A1,705
page,A1,709
poor,A1,714
hot,A1,722
language,A1,723
usually,A1,725
animal,A1,729
article,A1,732
save,A1,735
seven,A1,736
eight,A1,744
happy,A1,748
size,A1,753
dog,A1,754
ready,A1,759
sign,A1,760
list,A1,762
answer,A1,768
left,A1,772
meeting,A1,773
cup,A1,780
character,A1,787
television,A1,795
box,A1,796
TV,A1,797
pretty,A1,799
everybody,A1,803
feeling,A1,807
message,A1,810
arrive,A1,813
section,A1,821
glass,A1,823
skill,A1,825
sister,A1,826
stage,A1,832
design,A1,837
ten,A1,841
station,A1,844
blue,A1,845
discuss,A1,850
song,A1,854
example,A1,855
check,A1,857
leg,A1,859
dark,A1,860
forget,A1,875
enjoy,A1,884
cold,A1,888
science,A1,892
green,A1,893
memory,A1,894
card,A1,895
seat,A1,897
nice,A1,900
spring,A1,904
radio,A1,907
visit,A1,908
imagine,A1,912
tonight,A1,913
ball,A1,915
finish,A1,918
yourself,A1,919
peace,A1,936
shake,A1,945
fly,A1,946
interview,A1,947
chair,A1,949
fish,A1,950
camera,A1,952
trip,A1,964
evening,A1,965
worry,A1,973
writer,A1,983
shoulder,A1,989
middle,A1,991
sea,A1,992
dream,A1,993
bar,A1,994
beautiful,A1,995
magazine,A1,1004
hotel,A1,1005
heavy,A1,1008
bag,A1,1011
sing,A1,1016
owner,A1,1024
machine,A1,1025
address,A1,1031
item,A1,1034
coach,A1,1036
yard,A1,1039
garden,A1,1047
collection,A1,1049
partner,A1,1052
kitchen,A1,1055
wish,A1,1059
painting,A1,1060
scientist,A1,1061
mouth,A1,1065
newspaper,A1,1068
smile,A1,1072
interesting,A1,1076
rich,A1,1079
dinner,A1,1080
vote,A1,1082
front,A1,1091
wind,A1,1096
key,A1,1097
fast,A1,1100
speech,A1,1104
successful,A1,1105
video,A1,1113
restaurant,A1,1118
bird,A1,1126
corner,A1,1130
sky,A1,1150
plane,A1,1153
nine,A1,1164
conversation,A1,1168
touch,A1,1170
please,A1,1171
camp,A1,1192
brain,A1,1193
afternoon,A1,1195
weekend,A1,1197
date,A1,1205
sorry,A1,1209
fan,A1,1212
hole,A1,1217
ship,A1,1223
stone,A1,1225
introduce,A1,1230
driver,A1,1231
park,A1,1233
spot,A1,1234
ice,A1,1236
boat,A1,1237
drink,A1,1238
sun,A1,1239
truck,A1,1244
mountain,A1,1246
survey,A1,1247
winter,A1,1250
hide,A1,1261
gold,A1,1262
club,A1,1263
farm,A1,1265
reader,A1,1274
band,A1,1284
horse,A1,1286
interested,A1,1287
ride,A1,1290
reporter,A1,1294
tool,A1,1298
bright,A1,1315
guest,A1,1317
block,A1,1321
feed,A1,1324
collect,A1,1325
lesson,A1,1332
river,A1,1334
living,A1,1336
tomorrow,A1,1341
ear,A1,1344
shop,A1,1345
cry,A1,1358
warm,A1,1363
baseball,A1,1380
egg,A1,1383
anybody,A1,1387
gift,A1,1389
review,A1,1391
coffee,A1,1395
afraid,A1,1407
quarter,A1,1408
wonderful,A1,1412
cook,A1,1426
shoe,A1,1430
grade,A1,1432
clothes,A1,1440
quiet,A1,1442
dress,A1,1443
bone,A1,1450
below,A1,1457
cool,A1,1458
bus,A1,1463
healthy,A1,1476
following,A1,1479
medicine,A1,1481
photo,A1,1484
classroom,A1,1488
fair,A1,1493
pair,A1,1494
famous,A1,1495
knee,A1,1497
flower,A1,1498
actor,A1,1507
birth,A1,1508
yesterday,A1,1514
circle,A1,1515
bottom,A1,1520
island,A1,1521
clean,A1,1523
train,A1,1525
lady,A1,1526
neck,A1,1529
tall,A1,1533
football,A1,1543
chicken,A1,1546
map,A1,1551
rain,A1,1559
paint,A1,1566
leaf,A1,1568
dry,A1,1570
pool,A1,1574
climb,A1,1575
sweet,A1,1576
fat,A1,1584
ticket,A1,1585
strange,A1,1589
reading,A1,1591
lunch,A1,1595
farmer,A1,1598
sugar,A1,1600
repeat,A1,1611
carefully,A1,1612
mom,A1,1618
weather,A1,1623
bear,A1,1628
pocket,A1,1629
thin,A1,1630
surprise,A1,1632
sight,A1,1638
code,A1,1657
desk,A1,1669
thanks,A1,1671
fruit,A1,1672
expensive,A1,1674
yellow,A1,1675
dance,A1,1682
bridge,A1,1698
angry,A1,1717
meal,A1,1722
thick,A1,1734
nose,A1,1748
bottle,A1,1753
file,A1,1758
sick,A1,1759
slow,A1,1775
wake,A1,1778
airport,A1,1780
brown,A1,1782
shirt,A1,1784
cat,A1,1788
snow,A1,1795
meat,A1,1802
funny,A1,1803
correct,A1,1808
due,A1,1812
basketball,A1,1813
dad,A1,1828
kick,A1,1829
solve,A1,1839
bowl,A1,1843
hall,A1,1854
row,A1,1858
tooth,A1,1868
smart,A1,1869
topic,A1,1873
telephone,A1,1879
bedroom,A1,1883
nurse,A1,1889
pleasure,A1,1896
fun,A1,1902
cloud,A1,1928
busy,A1,1939
copy,A1,1941
vegetable,A1,1948
dish,A1,1950
beach,A1,1951
everywhere,A1,1953
terrible,A1,1958
careful,A1,1967
tired,A1,1973
holiday,A1,1977
match,A1,1986
beside,A1,1992
engineer,A1,2011
wheel,A1,2012
hill,A1,2028
noise,A1,2030
grass,A1,2031
hat,A1,2033
celebrate,A1,2037
fishing,A1,2039
milk,A1,2050
sentence,A1,2053
hi,A1,2088
twenty,A1,2104
cheese,A1,2122
sir,A1,2126
bread,A1,2131
excellent,A1,2140
lucky,A1,2145
library,A1,2148
factory,A1,2151
wash,A1,2162
sad,A1,2164
post,A1,2167
self,A1,2181
bike,A1,2182
tea,A1,2183
cop,A1,2220
album,A1,2234
sale,A1,2252
hello,A1,2258
knife,A1,2261
coat,A1,2267
potato,A1,2273
breathe,A1,2284
jacket,A1,2287
glad,A1,2288
kiss,A1,2324
cap,A1,2326
habit,A1,2327
juice,A1,2329
king,A1,2359
bean,A1,2373
breakfast,A1,2402
luck,A1,2406
smell,A1,2412
pray,A1,2421
tomato,A1,2422
butter,A1,2424
bathroom,A1,2426
tower,A1,2435
smoke,A1,2436
toy,A1,2441
birthday,A1,2455
flag,A1,2465
corn,A1,2470
moon,A1,2471
dig,A1,2484
pink,A1,2512
poem,A1,2517
grandmother,A1,2518
suggestion,A1,2530
mail,A1,2531
elementary,A1,2536
concert,A1,2537
false,A1,2539
tube,A1,2543
cake,A1,2563
pop,A1,2568
vacation,A1,2645
drama,A1,2654
clock,A1,2658
chocolate,A1,2659
button,A1,2668
bell,A1,2669
super,A1,2674
broken,A1,2717
apple,A1,2718
shopping,A1,2734
cousin,A1,2735
rice,A1,2763
tight,A1,2765
salad,A1,2797
ideal,A1,2839
singer,A1,2844
thirty,A1,2856
swim,A1,2871
dirty,A1,2891
pollution,A1,2936
exciting,A1,2949
musician,A1,2959
shelf,A1,2972
grandfather,A1,2974
fifteen,A1,3020
soup,A1,3021
celebration,A1,3022
fifty,A1,3065
contest,A1,3087
cow,A1,3103
tennis,A1,3107
girlfriend,A1,3141
jet,A1,3170
orange,A1,3171
yours,A1,3183
hungry,A1,3208
shower,A1,3232
borrow,A1,3241
twelve,A1,3247
brush,A1,3251
ugly,A1,3288
ghost,A1,3292
cookie,A1,3297
pet,A1,3306
lovely,A1,3312
everyday,A1,3319
piano,A1,3327
mouse,A1,3336
dear,A1,3365
uncle,A1,3373
soccer,A1,3383
rose,A1,3397
couch,A1,3404
boyfriend,A1,3407
jeans,A1,3450
excited,A1,3456
candy,A1,3477
greet,A1,3504
snake,A1,3512
excuse,A1,3514
pig,A1,3517
beef,A1,3537
sandwich,A1,3564
cloth,A1,3575
strict,A1,3590
rat,A1,3593
pen,A1,3618
hurry,A1,3646
temple,A1,3648
skirt,A1,3670
guitar,A1,3692
closed,A1,3714
towel,A1,3717
bat,A1,3727
festival,A1,3729
forty,A1,3768
turkey,A1,3775
Olympics,A1,3807
doll,A1,3858
poster,A1,3871
handsome,A1,3876
sum,A1,3878
hers,A1,3885
opera,A1,3888
bath,A1,3923
pizza,A1,3956
garbage,A1,3974
toilet,A1,4026
lonely,A1,4041
ours,A1,4139
drum,A1,4155
cartoon,A1,4195
aunt,A1,4203
sheep,A1,4253
bee,A1,4292
eleven,A1,4319
spell,A1,4344
lion,A1,4350
cute,A1,4390
bicycle,A1,4413
fever,A1,4418
rabbit,A1,4420
shy,A1,4455
pencil,A1,4464
notebook,A1,4477
swimming,A1,4492
monkey,A1,4610
blank,A1,4631
awake,A1,4699
banana,A1,4729
palace,A1,4731
grandparent,A1,4735
supermarket,A1,4737
dancing,A1,4760
headache,A1,4806
grape,A1,4818
homework,A1,4831
sofa,A1,4833
bucket,A1,4868
ribbon,A1,4891
spy,A1,4901
sunny,A1,4921
foreigner,A1,4943
boring,A1,4969
butterfly,A1,4978
smoking,A1,5006
clever,A1,5035
delicious,A1,5042
autumn,A1,5069
sailor,A1,5091
taxi,A1,5226
classmate,A1,5317
sixteen,A1,5393
frog,A1,5441
subway,A1,5452
prince,A1,5533
waiter,A1,5534
hometown,A1,5544
eighteen,A1,5553
fourteen,A1,5570
daddy,A1,5616
ruler,A1,5617
picnic,A1,5693
sixty,A1,5722
thirteen,A1,5723
umbrella,A1,5744
paragraph,A1,5980
bookstore,A1,6278
lazy,A1,6331
zoo,A1,6380
seventeen,A1,6415
fairy,A1,6461
waitress,A1,6487
hobby,A1,6656
rude,A1,6827
tiger,A1,6865
princess,A1,7007
vase,A1,7151
trousers,A1,7361
burger,A1,7387
saw,A1,7553
merry,A1,7564
rainy,A1,7607
eighty,A1,7613
hamburger,A1,7614
nationality,A1,7892
surf,A1,7904
sunshine,A1,7906
nineteen,A1,7962
interviewer,A1,7964
pardon,A1,7979
seventy,A1,8035
volleyball,A1,8047
biscuit,A1,8222
apron,A1,8236
cinema,A1,8313
ninety,A1,8440
lily,A1,8508
grammar,A1,8532
haircut,A1,8648
dictionary,A1,8658
kite,A1,9740
snowy,A1,9837
underline,A1,9914
cloudy,A1,10478
grandma,A1,11474
foggy,A1,13048
coke,A1,14455
mum,A1,14564
grandpa,A1,17108
bye,A1,19391
a.m./A.M./am/AM,A1,
airplane/aeroplane,A1,
all right,A1,
am,A1,
an,A1,
April,A1,
are,A1,
August,A1,
cafe/café,A1,
CD,A1,
CD player,A1,
color/colour,A1,
credit card,A1,
December,A1,
did,A1,
dining room,A1,
doctor/Dr./Dr,A1,
does,A1,
doing,A1,
dollar,A1,
DVD,A1,
each other,A1,
email/e-mail/E-mail,A1,
favorite/favourite,A1,
February,A1,
Friday,A1,
glasses,A1,
good afternoon,A1,
good morning,A1,
good night,A1,
gray/grey,A1,
had,A1,
has,A1,
have to,A1,
ice cream,A1,
Internet/internet,A1,
is,A1,
January,A1,
jewelry/jewellery,A1,
July,A1,
June,A1,
last name,A1,
living room,A1,
'm,A1,
March,A1,
math/maths,A1,
Miss,A1,
mobile phone,A1,
mommy/mommie,A1,
Monday,A1,
Mr./Mr,A1,
Mrs./Mrs,A1,
neighbor/neighbour,A1,
November,A1,
o'clock,A1,
October,A1,
OK/okay,A1,
p.m./P.M./pm/PM,A1,
pants,A1,
practice/practise,A1,
program/programme,A1,
're,A1,
's,A1,
Saturday,A1,
September,A1,
smith,A1,
Sunday,A1,
swimming pool,A1,
theater/theatre,A1,
Thursday,A1,
T-shirt/tee-shirt,A1,
Tuesday,A1,
was,A1,
Wednesday,A1,
were,A1,
yogurt/yoghurt,A1,
in,A2,6
for,A2,13
on,A2,17
as,A2,33
all,A2,43
up,A2,50
so,A2,55
use,A2,92
back,A2,108
after,A2,120
over,A2,124
feel,A2,134
most,A2,144
while,A2,153
mean,A2,154
seem,A2,165
country,A2,166
help,A2,167
might,A2,175
show,A2,177
part,A2,178
against,A2,180
such,A2,183
few,A2,185
company,A2,189
system,A2,191
during,A2,198
government,A2,201
next,A2,218
without,A2,219
million,A2,223
home,A2,225
area,A2,231
national,A2,232
fact,A2,236
study,A2,241
issue,A2,248
kind,A2,250
provide,A2,263
around,A2,265
power,A2,272
political,A2,278
among,A2,280
ever,A2,281
lose,A2,284
however,A2,285
member,A2,286
law,A2,288
include,A2,293
continue,A2,294
set,A2,295
several,A2,311
understand,A2,321
follow,A2,326
create,A2,333
allow,A2,340
within,A2,353
low,A2,361
research,A2,363
early,A2,366
himself,A2,370
air,A2,371
force,A2,373
offer,A2,374
enough,A2,375
education,A2,377
across,A2,378
although,A2,379
consider,A2,395
appear,A2,396
actually,A2,397
probably,A2,399
human,A2,400
serve,A2,402
market,A2,403
die,A2,404
send,A2,405
expect,A2,406
sense,A2,408
nation,A2,413
interest,A2,417
death,A2,418
experience,A2,421
local,A2,424
remain,A2,427
effect,A2,428
yeah,A2,430
suggest,A2,431
control,A2,433
raise,A2,434
perhaps,A2,436
pass,A2,442
major,A2,445
themselves,A2,450
report,A2,451
effort,A2,455
decide,A2,457
rate,A2,458
possible,A2,460
drug,A2,462
voice,A2,466
whole,A2,468
police,A2,469
finally,A2,471
pull,A2,472
return,A2,473
military,A2,475
less,A2,478
explain,A2,481
develop,A2,485
view,A2,486
road,A2,490
break,A2,495
receive,A2,499
value,A2,500
international,A2,501
society,A2,508
director,A2,511
position,A2,513
especially,A2,516
space,A2,522
support,A2,525
official,A2,527
couple,A2,532
base,A2,537
court,A2,542
produce,A2,543
oil,A2,547
situation,A2,549
cost,A2,551
figure,A2,553
image,A2,556
itself,A2,557
quite,A2,562
clear,A2,564
